#Zinb
#yaml:
#    date: 2023-01-18 12:15:22
#    transit_version: v4.0.0
#    app_or_command_line: app
#    console_command: transit 
#    calculation_time: 37.7seconds
#    analysis_type: Zinb
#    files:
#       combined_wig: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/comwig.tsv
#       annotation_path: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/annotation.H37Rv.prot_table
#    parameters:
#       normalization: TTR
#       n_terminus: 0.0
#       c_terminus: 0.0
#       pseudocount: 5.0
#       should_append_gene_descriptions: true
#    group_names: [Cholesterol, Glycerol]
#    lfc_columns: [Log 2 FC Cholesterol, Log 2 FC Glycerol]
#    mean_columns: [Mean Cholesterol, Mean Glycerol]
#    summary_info:
#       Hits: 100
#    
#Rv	Gene	TA Sites	Mean Cholesterol	Mean Glycerol	Log 2 FC Cholesterol	Log 2 FC Glycerol	Non Zero Mean Cholesterol	Non Zero Mean Glycerol	Non Zero Percentage Cholesterol	Non Zero Percentage Glycerol	P Value	Adj P Value	Status	Gene Annotation
Rv1121	zwf1	24	31.0	33.4	-0.049	0.047	123.8	89.1	0.25	0.38	0.632300519291518	1.0	-	glucose-6-phosphate 1-dehydrogenase 
Rv1122	gnd2	14	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	6-phosphogluconate dehydrogenase-like protein 
Rv1123c	bpoB	9	120.8	154.0	-0.179	0.159	217.4	277.2	0.56	0.56	0.294488018167605	1.0	-	POSSIBLE PEROXIDASE BPOB (NON-HAEM PEROXIDASE) 
Rv1124	ephC	12	117.0	50.1	0.462	-0.684	324.1	133.7	0.36	0.38	0.756317844832685	1.0	-	PROBABLE EPOXIDE HYDROLASE EPHC (EPOXIDE HYDRATASE) 
Rv1125	-	23	33.3	79.6	-0.681	0.461	92.0	146.5	0.36	0.54	0.0107385053553598	0.2341346249611235	-	hypothetical protein Rv1125 
Rv1126c	-	10	0.2	1.4	-0.159	0.143	6.5	28.7	0.03	0.05	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv1126c 
Rv1127c	ppdK	19	0.1	17.1	-1.413	0.700	6.5	92.9	0.02	0.18	0.00965093046099215	0.22518837742315015	-	pyruvate phosphate dikinase 
Rv1128c	-	29	9.3	14.5	-0.244	0.209	62.0	64.8	0.15	0.22	0.623597650796438	1.0	-	hypothetical protein Rv1128c 
Rv1129c	-	27	1.1	51.6	-2.358	0.852	18.1	185.8	0.06	0.28	2.383314939486e-05	0.0025701152996078754	-	PROBABLE TRANSCRIPTIONAL REGULATOR PROTEIN 
Rv1130	-	27	0.6	54.2	-2.543	0.871	5.0	108.5	0.11	0.50	2.54941614899638e-12	1.6953617390825925e-09	-	hypothetical protein Rv1130 
Rv1131	gltA1	16	1.1	32.4	-1.832	0.782	17.9	129.7	0.06	0.25	0.00148778379240316	0.05707939742008277	-	methylcitrate synthase 
Rv1132	-	26	50.3	115.5	-0.669	0.455	135.3	182.1	0.37	0.63	0.0108811133403698	0.23477051679539002	-	hypothetical protein Rv1132 
Rv1133c	metE	35	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 
Rv1134	-	5	60.4	162.2	-0.831	0.524	151.0	231.7	0.40	0.70	0.221657194338002	0.9906157398755502	-	hypothetical protein Rv1134 
Rv1135c	PPE16	25	192.8	193.4	-0.002	0.002	328.6	302.2	0.59	0.64	0.77786987195751	1.0	-	PPE FAMILY PROTEIN 
Rv1135A	-	6	297.4	40.6	0.797	-1.932	535.3	81.2	0.56	0.50	0.073693105502989	0.6822169163733786	-	POSSIBLE ACETYL-CoA ACETYLTRANSFERASE (ACETOACETYL-CoA THIOLASE) 
Rv1136	-	3	256.5	277.2	-0.056	0.054	329.7	277.2	0.78	1.00	0.361955820941926	1.0	-	POSSIBLE ENOYL-CoA HYDRATASE 
Rv1137c	-	2	122.4	157.3	-0.185	0.164	122.4	157.3	1.00	1.00	0.63182644168109	1.0	-	hypothetical protein Rv1137c 
Rv1138c	-	17	180.6	152.0	0.116	-0.126	297.2	323.1	0.61	0.47	0.119841051912868	0.7998491016549358	-	POSSIBLE OXIDOREDUCTASE 
Rv1139c	-	13	126.6	140.4	-0.073	0.070	235.2	228.1	0.54	0.62	0.771842818960938	1.0	-	hypothetical protein Rv1139c 
Rv1140	-	11	200.5	123.8	0.298	-0.376	472.5	227.0	0.42	0.55	0.685493232059305	1.0	-	PROBABLE INTEGRAL MEMBRANE PROTEIN 
Rv1141c	echA11	14	104.7	187.7	-0.463	0.350	157.0	309.2	0.67	0.61	0.00672131839702177	0.17643460792182145	-	enoyl-CoA hydratase 
Rv1142c	echA10	8	373.6	268.0	0.217	-0.255	527.4	428.8	0.71	0.62	0.690465039903287	1.0	-	enoyl-CoA hydratase 
Rv1143	mcr	15	346.6	280.0	0.144	-0.159	487.5	365.3	0.71	0.77	0.949966405015597	1.0	-	PROBABLE ALPHA-METHYLACYL-CoA RACEMASE MCR (2-methylacyl-CoA racemase) (2-arylpropionyl-CoA epimerase ) 
Rv1144	-	11	270.6	312.6	-0.106	0.099	357.1	382.1	0.76	0.82	0.61654771773577	1.0	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 
Rv1145	mmpL13a	11	85.6	110.9	-0.189	0.167	176.6	203.4	0.48	0.55	0.506023585116498	1.0	-	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13A 
Rv1146	mmpL13b	23	485.9	374.6	0.174	-0.197	644.8	522.1	0.75	0.72	0.476379561711577	1.0	-	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL13B 
Rv1147	-	9	203.5	129.7	0.281	-0.349	392.4	291.8	0.52	0.44	0.684495811835862	1.0	-	hypothetical protein Rv1147 
Rv1148c	-	23	137.4	135.6	0.009	-0.009	215.4	195.0	0.64	0.70	0.545164954897099	1.0	-	hypothetical protein Rv1148c 
Rv1149	-	6	153.4	157.3	-0.018	0.018	251.0	209.7	0.61	0.75	0.802705671938082	1.0	-	POSSIBLE TRANSPOSASE 
Rv1151c	-	9	313.6	342.6	-0.064	0.061	403.2	440.4	0.78	0.78	0.566520702555897	1.0	-	NAD-dependent deacetylase 
Rv1152	-	5	65.4	188.7	-0.908	0.553	163.5	269.6	0.40	0.70	0.290932275265285	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv1153c	omt	19	159.1	194.4	-0.147	0.134	283.4	335.8	0.56	0.58	0.325633394804458	1.0	-	PROBABLE O-METHYLTRANSFERASE OMT 
Rv1154c	-	16	211.3	137.7	0.269	-0.331	307.3	200.3	0.69	0.69	0.886915251500386	1.0	-	hypothetical protein Rv1154c 
Rv1155	-	11	338.3	238.0	0.228	-0.271	531.6	327.3	0.64	0.73	0.868779357469008	1.0	-	hypothetical protein Rv1155 
Rv1156	-	12	258.8	265.7	-0.019	0.018	582.3	398.5	0.44	0.67	0.427837575325429	1.0	-	hypothetical protein Rv1156 
Rv1157c	-	8	27.7	47.0	-0.375	0.297	83.0	125.4	0.33	0.38	0.59759245889924	1.0	-	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN 
Rv1158c	-	11	123.9	45.6	0.522	-0.827	272.7	125.4	0.45	0.36	0.487064807701963	1.0	-	CONSERVED HYPOTHETICAL ALA-, PRO-RICH PROTEIN 
Rv1159	pimE	28	12.7	19.8	-0.263	0.223	177.8	110.8	0.07	0.18	0.305380382835902	1.0	-	mannosyltransferase 
Rv1159A	phhB	13	68.1	118.2	-0.426	0.328	241.3	341.4	0.28	0.35	0.463052210664063	1.0	-	pterin-4-alpha-carbinolamine dehydratase 
Rv1160	mutT2	4	90.2	187.1	-0.594	0.419	120.3	187.1	0.75	1.00	0.179474199339136	0.9416832359444095	-	PROBABLE MUTATOR PROTEIN MUTT (7,8-dihydro-8-oxoguanine-triphosphatase) (8-OXO-DGTPASE) 
Rv1161	narG	75	185.0	185.3	-0.001	0.001	385.4	330.8	0.48	0.56	0.251606826083217	1.0	-	PROBABLE RESPIRATORY NITRATE REDUCTASE (ALPHA CHAIN) NARG 
Rv1162	narH	35	246.0	252.5	-0.019	0.018	374.3	310.1	0.66	0.81	0.140519461034884	0.8662225510271792	-	PROBABLE RESPIRATORY NITRATE REDUCTASE (BETA CHAIN) NARH 
Rv1163	narJ	15	212.7	248.4	-0.114	0.106	308.7	324.0	0.69	0.77	0.342800844051608	1.0	-	PROBABLE RESPIRATORY NITRATE REDUCTASE (DELTA CHAIN) NARJ 
Rv1164	narI	18	134.8	107.6	0.148	-0.165	208.0	168.3	0.65	0.64	0.734030276318087	1.0	-	PROBABLE RESPIRATORY NITRATE REDUCTASE (GAMMA CHAIN) NARI 
Rv1165	typA	15	194.4	326.4	-0.412	0.320	282.2	425.8	0.69	0.77	0.0471609223991115	0.5497591335156378	-	POSSIBLE GTP-BINDING TRANSLATION ELONGATION FACTOR TYPA (TYROSINE PHOSPHORYLATED PROTEIN A) (GTP-BINDING PROTEIN) 
Rv1166	lpqW	23	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE CONSERVED LIPOPROTEIN LPQW 
Rv1167c	-	9	13.8	39.5	-0.749	0.491	124.6	142.2	0.11	0.28	0.430067126029081	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv1168c	PPE17	16	211.8	232.2	-0.066	0.063	328.0	337.7	0.65	0.69	0.46287070452085	1.0	-	PPE FAMILY PROTEIN 
Rv1169c	PE11	3	296.3	99.2	0.572	-0.961	296.3	99.2	1.00	1.00	0.0565782336385124	0.5980217205427398	-	PE FAMILY PROTEIN 
Rv1170	mshB	11	57.0	9.3	0.700	-1.412	208.9	51.4	0.27	0.18	0.334120425825362	1.0	-	N-Acetyl-1-D-myo-Inosityl-2-Amino-2-Deoxy-alpha- D-Glucopyranoside Deacetylase mshB (GlcNAc-Ins deacetylase) 
Rv1171	-	6	275.3	135.2	0.415	-0.585	450.5	180.3	0.61	0.75	0.556704829988589	1.0	-	hypothetical protein Rv1171 
Rv1172c	PE12	15	124.5	144.7	-0.109	0.101	266.8	255.4	0.47	0.57	0.600864383640303	1.0	-	PE FAMILY PROTEIN 
Rv1173	fbiC	43	15.8	19.1	-0.111	0.103	101.7	91.1	0.16	0.21	0.842549675921629	1.0	-	FO synthase 
Rv1174c	TB8.4	8	283.2	517.6	-0.492	0.366	453.1	552.1	0.62	0.94	0.027166705227366	0.4045315306106246	-	LOW MOLECULAR WEIGHT T-CELL ANTIGEN TB8.4 
Rv1175c	fadH	28	166.9	138.9	0.122	-0.134	292.0	235.7	0.57	0.59	0.809665972504222	1.0	-	PROBABLE NADPH DEPENDENT 2,4-DIENOYL-COA REDUCTASE FADH (2,4-dienoyl coenzyme A reductase) (4-enoyl-CoA reductase) 
Rv1176c	-	15	104.3	109.1	-0.031	0.031	213.4	155.9	0.49	0.70	0.326189386649159	1.0	-	hypothetical protein Rv1176c 
Rv1177	fdxC	7	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE FERREDOXIN FDXC 
Rv1178	-	20	117.1	81.7	0.226	-0.268	200.8	155.6	0.58	0.53	0.476850900515941	1.0	-	N-succinyldiaminopimelate aminotransferase 
Rv1179c	-	41	203.5	171.7	0.114	-0.124	329.3	242.8	0.62	0.71	0.735760357470577	1.0	-	hypothetical protein Rv1179c 
Rv1180	pks3	25	285.1	253.5	0.081	-0.086	611.0	603.7	0.47	0.42	0.249988432274505	1.0	-	PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS3 
Rv1181	pks4	70	255.3	256.8	-0.004	0.004	525.6	466.9	0.49	0.55	0.348772057763813	1.0	-	PROBABLE POLYKETIDE BETA-KETOACYL SYNTHASE PKS4 
Rv1182	papA3	40	215.1	153.1	0.219	-0.258	430.1	266.3	0.50	0.57	0.84617744567808	1.0	-	PROBABLE CONSERVED POLYKETIDE SYNTHASE ASSOCIATED PROTEIN PAPA3 
Rv1183	mmpL10	52	2.8	26.1	-1.322	0.678	48.1	75.4	0.06	0.35	1.02357266832893e-07	2.5525343416452692e-05	-	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL10 
Rv1184c	-	22	180.9	187.1	-0.024	0.024	291.1	294.0	0.62	0.64	0.524493037897415	1.0	-	POSSIBLE EXPORTED PROTEIN 
Rv1185c	fadD21	32	391.9	271.8	0.237	-0.283	637.7	434.9	0.61	0.62	0.897187823667443	1.0	-	acyl-CoA synthetase 
Rv1186c	-	18	60.5	35.3	0.309	-0.394	155.7	90.7	0.39	0.39	0.834361855992103	1.0	-	hypothetical protein Rv1186c 
Rv1187	rocA	24	56.0	24.2	0.436	-0.628	287.9	145.0	0.19	0.17	0.602540884007443	1.0	-	PROBABLE PYRROLINE-5-CARBOXYLATE DEHYDROGENASE ROCA 
Rv1188	-	22	31.8	34.0	-0.042	0.041	140.1	124.7	0.23	0.27	0.95153587340177	1.0	-	PROBABLE PROLINE DEHYDROGENASE 
Rv1189	sigI	8	42.3	64.2	-0.301	0.249	126.9	146.8	0.33	0.44	0.516205954054233	1.0	-	RNA polymerase sigma factor SigI 
Rv1190	-	9	166.2	167.8	-0.007	0.006	264.0	232.3	0.63	0.72	0.828828292307194	1.0	-	hypothetical protein Rv1190 
Rv1191	-	9	269.0	283.1	-0.037	0.036	403.5	424.6	0.67	0.67	0.705545063164076	1.0	-	hypothetical protein Rv1191 
Rv1192	-	14	246.8	143.9	0.330	-0.428	384.0	223.9	0.64	0.64	0.749946452347383	1.0	-	hypothetical protein Rv1192 
Rv1193	fadD36	21	1.4	18.3	-1.217	0.651	17.5	54.9	0.08	0.33	0.00229826668109197	0.07641736714630801	-	acyl-CoA synthetase 
Rv1194c	-	18	127.7	138.6	-0.058	0.056	246.2	249.4	0.52	0.56	0.430542465167669	1.0	-	hypothetical protein Rv1194c 
Rv1195	PE13	5	133.0	194.6	-0.290	0.242	181.4	216.2	0.73	0.90	0.378164169340855	1.0	-	PE FAMILY PROTEIN 
Rv1196	PPE18	10	121.4	141.9	-0.113	0.105	140.0	189.2	0.87	0.75	0.111416724414739	0.7799170709031731	-	PPE FAMILY PROTEIN 
Rv1197	esxK	3	54.8	199.0	-1.141	0.629	54.8	199.0	1.00	1.00	0.022991882402296	0.36556773988501023	-	ESAT-6 LIKE PROTEIN ESXK (ESAT-6 LIKE PROTEIN 3) 
Rv1198	esxL	4	186.0	295.2	-0.363	0.290	223.2	295.2	0.83	1.00	0.156537309762808	0.9019824158466069	-	PUTATIVE ESAT-6 LIKE PROTEIN ESXL (ESAT-6 LIKE PROTEIN 4) 
Rv1199c	-	16	72.6	98.4	-0.222	0.192	108.9	116.7	0.67	0.84	0.0990285497895291	0.7501380035766971	-	POSSIBLE TRANSPOSASE 
Rv1200	-	29	229.7	211.2	0.058	-0.060	350.6	291.7	0.66	0.72	0.712891238892041	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 
Rv1201c	-	11	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE TRANSFERASE 
Rv1202	dapE	16	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	dipeptidase 
Rv1203c	-	8	100.7	102.5	-0.013	0.013	201.3	273.4	0.50	0.38	0.314619863509292	1.0	-	hypothetical protein Rv1203c 
Rv1204c	-	16	230.6	238.5	-0.024	0.024	257.4	238.5	0.90	1.00	0.0450509089317816	0.5365380719256025	-	hypothetical protein Rv1204c 
Rv1205	-	13	220.3	109.8	0.406	-0.567	358.0	142.7	0.62	0.77	0.14698925397652	0.8766623667657919	-	hypothetical protein Rv1205 
Rv1206	fadD6	37	386.8	248.2	0.281	-0.349	613.4	374.9	0.63	0.66	0.760741730723424	1.0	-	acyl-CoA synthetase 
Rv1207	folP2	10	71.3	13.0	0.695	-1.392	237.8	32.4	0.30	0.40	0.0530278640800359	0.5860617884473005	-	PROBABLE DIHYDROPTEROATE SYNTHASE 2 FOLP2 (DHPS 2) (Dihydropteroate pyrophosphorylase 2) 
Rv1208	-	14	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	hypothetical protein Rv1208 
Rv1209	-	5	84.1	139.4	-0.390	0.306	180.3	232.4	0.47	0.60	0.668653229708832	1.0	-	hypothetical protein Rv1209 
Rv1210	tagA	11	277.5	289.0	-0.029	0.028	436.1	353.2	0.64	0.82	0.438691032344552	1.0	-	PROBABLE DNA-3-METHYLADENINE GLYCOSYLASE I TAGA (TAG I) (3-methyladenine-DNA glycosylase I, constitutive) (DNA-3-methyladenine glycosidase I ) 
Rv1211	-	4	3.2	16.4	-0.847	0.530	38.8	65.6	0.08	0.25	0.0770400718512293	0.6938823627232616	-	hypothetical protein Rv1211 
Rv1212c	-	32	110.8	124.2	-0.081	0.077	212.6	220.8	0.52	0.56	0.350392588491068	1.0	-	PUTATIVE GLYCOSYL TRANSFERASE 
Rv1213	glgC	30	67.7	66.0	0.017	-0.018	138.5	136.5	0.49	0.48	0.421261161087188	1.0	-	glucose-1-phosphate adenylyltransferase 
Rv1214c	PE14	5	90.5	129.9	-0.271	0.228	193.9	185.6	0.47	0.70	0.576872505668571	1.0	-	PE FAMILY PROTEIN 
Rv1215c	-	26	79.0	70.0	0.080	-0.084	237.1	158.3	0.33	0.44	0.782779165816363	1.0	-	hypothetical protein Rv1215c 
Rv1216c	-	19	104.0	127.5	-0.148	0.134	164.6	186.4	0.63	0.68	0.289831313165801	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv1217c	-	20	33.0	58.7	-0.420	0.325	104.2	146.8	0.32	0.40	0.272438623157385	1.0	-	PROBABLE TETRONASIN-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER 
Rv1218c	-	6	78.2	57.2	0.194	-0.225	140.7	98.1	0.56	0.58	0.993580708867852	1.0	-	PROBABLE TETRONASIN-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER 
Rv1219c	-	10	114.6	74.0	0.268	-0.330	190.9	113.8	0.60	0.65	0.92616120917929	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv1220c	-	10	431.8	178.2	0.495	-0.759	616.8	296.9	0.70	0.60	0.452263757036436	1.0	-	PROBABLE METHYLTRANSFERASE 
Rv1221	sigE	17	33.7	21.2	0.254	-0.308	143.1	120.1	0.24	0.18	0.591803348861374	1.0	-	RNA polymerase sigma factor SigE 
Rv1222	-	2	158.5	117.8	0.192	-0.221	316.9	235.5	0.50	0.50	0.979187205057189	1.0	-	hypothetical protein Rv1222 
Rv1223	htrA	22	79.6	26.2	0.548	-0.893	584.0	230.3	0.14	0.11	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE SERINE PROTEASE HTRA (DEGP PROTEIN) 
Rv1224	tatB	5	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	sec-independent translocase 
Rv1225c	-	6	222.4	181.6	0.136	-0.150	266.9	242.1	0.83	0.75	0.651602857433374	1.0	-	hypothetical protein Rv1225c 
Rv1226c	-	15	233.2	323.5	-0.251	0.213	419.7	510.8	0.56	0.63	0.302421383653349	1.0	-	PROBABLE TRANSMEMBRANE PROTEIN 
Rv1227c	-	6	160.8	70.3	0.460	-0.679	241.2	93.7	0.67	0.75	0.571195632280136	1.0	-	PROBABLE TRANSMEMBRANE PROTEIN 
Rv1228	lpqX	9	290.7	469.8	-0.382	0.301	373.8	563.8	0.78	0.83	0.0317784779047501	0.4387409233216364	-	PROBABLE LIPOPROTEIN LPQX 
Rv1229c	mrp	16	1.7	2.4	-0.076	0.072	40.7	38.7	0.04	0.06	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE MRP-RELATED PROTEIN MRP 
Rv1230c	-	20	156.6	152.1	0.020	-0.020	234.9	243.3	0.67	0.62	0.316455823838148	1.0	-	POSSIBLE MEMBRANE PROTEIN 
Rv1231c	-	7	170.0	141.4	0.123	-0.134	223.2	198.0	0.76	0.71	0.654857601275944	1.0	-	PROBABLE MEMBRANE PROTEIN 
Rv1232c	-	11	901.8	284.7	0.600	-1.046	1352.6	417.6	0.67	0.68	0.303936281148464	1.0	-	hypothetical protein Rv1232c 
Rv1233c	-	19	144.0	110.9	0.169	-0.192	303.9	221.9	0.47	0.50	0.947267492637081	1.0	-	hypothetical protein Rv1233c 
Rv1234	-	9	160.2	65.6	0.487	-0.740	540.6	168.6	0.30	0.39	0.555261183123189	1.0	-	PROBABLE TRANSMEMBRANE PROTEIN 
Rv1235	lpqY	30	77.4	63.8	0.124	-0.136	224.6	141.7	0.34	0.45	0.752822036300001	1.0	-	PROBABLE SUGAR-BINDING LIPOPROTEIN LPQY 
Rv1236	sugA	19	111.7	75.3	0.244	-0.295	353.8	168.4	0.32	0.45	0.435858918617517	1.0	-	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGA 
Rv1237	sugB	12	34.7	30.4	0.081	-0.086	113.5	104.1	0.31	0.29	0.797282235771511	1.0	-	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER SUGB 
Rv1238	sugC	25	53.7	55.6	-0.024	0.024	191.7	173.9	0.28	0.32	0.707324593860704	1.0	-	PROBABLE SUGAR-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER SUGC 
Rv1239c	corA	25	66.9	108.5	-0.367	0.292	152.0	193.8	0.44	0.56	0.115353845072576	0.7881195921910586	-	POSSIBLE MAGNESIUM AND COBALT TRANSPORT TRANSMEMBRANE PROTEIN CORA 
Rv1240	mdh	5	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	malate dehydrogenase 
Rv1241	-	1	107.9	63.2	0.318	-0.409	161.9	63.2	0.67	1.00	1.0	1.0	TA sites <= 1, not analyzed	hypothetical protein Rv1241 
Rv1242	-	9	264.9	189.1	0.218	-0.257	357.6	243.1	0.74	0.78	0.991542429394189	1.0	-	hypothetical protein Rv1242 
Rv1243c	PE_PGRS23	19	151.2	139.6	0.055	-0.057	221.0	212.1	0.68	0.66	0.302248268180156	1.0	-	PE-PGRS FAMILY PROTEIN 
Rv1244	lpqZ	8	256.2	133.1	0.388	-0.532	341.6	177.4	0.75	0.75	0.728855935892438	1.0	-	PROBABLE LIPOPROTEIN LPQZ 
Rv1245c	-	14	106.9	111.7	-0.030	0.030	264.2	208.5	0.40	0.54	0.783019393669213	1.0	-	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE 
Rv1246c	-	7	188.8	178.6	0.039	-0.040	247.8	227.3	0.76	0.79	0.735419274839107	1.0	-	hypothetical protein Rv1246c 
Rv1247c	-	6	146.7	81.8	0.347	-0.458	293.4	163.7	0.50	0.50	0.930035534545244	1.0	-	hypothetical protein Rv1247c 
Rv1248c	kgd	46	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	alpha-ketoglutarate decarboxylase 
Rv1249c	-	12	444.0	416.0	0.046	-0.047	666.0	665.6	0.67	0.62	0.613310528726911	1.0	-	POSSIBLE MEMBRANE PROTEIN 
Rv1250	-	31	168.8	149.8	0.081	-0.086	296.2	221.1	0.57	0.68	0.753517087465792	1.0	-	PROBABLE DRUG-TRANSPORT INTEGRAL MEMBRANE PROTEIN 
Rv1251c	-	61	134.0	129.5	0.024	-0.024	288.4	235.7	0.46	0.55	0.658748500713705	1.0	-	hypothetical protein Rv1251c 
Rv1252c	lprE	7	93.1	90.1	0.022	-0.022	139.7	105.2	0.67	0.86	0.558784761271019	1.0	-	PROBABLE LIPOPROTEIN LPRE 
Rv1253	deaD	35	82.9	70.7	0.104	-0.112	223.3	165.0	0.37	0.43	0.923426078637794	1.0	-	PROBABLE COLD-SHOCK DEAD-BOX PROTEIN A HOMOLOG DEAD (ATP-dependent RNA helicase deaD homolog) 
Rv1254	-	26	3.3	1.2	0.199	-0.231	258.4	30.5	0.01	0.04	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE ACYLTRANSFERASE 
Rv1255c	-	10	43.4	27.1	0.266	-0.327	108.4	77.3	0.40	0.35	0.760128984814439	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN 
Rv1256c	cyp130	16	88.4	110.0	-0.158	0.142	176.8	175.9	0.50	0.62	0.488043409649506	1.0	-	PROBA BLE CYTOCHROME P450 130 CYP130 
Rv1257c	-	16	69.5	76.7	-0.068	0.065	139.1	144.4	0.50	0.53	0.393562367296493	1.0	-	PROBABLE OXIDOREDUCTASE 
Rv1258c	-	22	311.3	279.4	0.075	-0.079	428.0	409.8	0.73	0.68	0.348789861259167	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 
Rv1259	-	14	56.5	62.8	-0.072	0.069	215.7	125.5	0.26	0.50	0.258176843045181	1.0	-	hypothetical protein Rv1259 
Rv1260	-	28	116.9	86.8	0.190	-0.219	363.8	270.2	0.32	0.32	0.830585574382868	1.0	-	hypothetical protein Rv1260 
Rv1261c	-	11	89.7	106.7	-0.124	0.114	174.1	195.7	0.52	0.55	0.487584490154245	1.0	-	hypothetical protein Rv1261c 
Rv1262c	-	4	206.6	208.6	-0.007	0.007	275.5	208.6	0.75	1.00	0.226778883154123	0.9954320613695828	-	HYPOTHETICAL HIT-LIKE PROTEIN 
Rv1263	amiB2	22	89.7	70.0	0.159	-0.178	185.0	171.0	0.48	0.41	0.382067020381499	1.0	-	amidase 
Rv1264	-	13	218.0	235.8	-0.056	0.054	386.5	360.6	0.56	0.65	0.62772204476994	1.0	-	ADENYLYL CYCLASE (ATP PYROPHOSPHATE-LYASE) (ADENYLATE CYCLASE) 
Rv1265	-	11	33.7	53.0	-0.320	0.262	139.0	233.0	0.24	0.23	0.572383140107718	1.0	-	hypothetical protein Rv1265 
Rv1266c	pknH	29	201.4	194.4	0.025	-0.025	297.0	245.1	0.68	0.79	0.391920378958039	1.0	-	PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE H PKNH (PROTEIN KINASE H) (STPK H) 
Rv1267c	embR	20	127.7	142.1	-0.076	0.072	247.2	210.5	0.52	0.68	0.426434100548891	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN EMBR 
Rv1268c	-	11	200.9	236.1	-0.118	0.109	288.3	324.7	0.70	0.73	0.634831335417509	1.0	-	hypothetical protein Rv1268c 
Rv1269c	-	8	86.6	126.9	-0.286	0.239	231.1	203.0	0.38	0.62	0.423432313859353	1.0	-	CONSERVED PROBABLE SECRETED PROTEIN 
Rv1270c	lprA	11	154.8	114.2	0.196	-0.226	255.4	139.6	0.61	0.82	0.309528290575549	1.0	-	POSSIBLE LIPOPROTEIN LPRA 
Rv1271c	-	7	66.3	52.7	0.144	-0.160	126.5	92.3	0.52	0.57	0.999673337568366	1.0	-	CONSERVED HYPOTHETICAL SECRETED PROTEIN 
